order_date,Month
2024-01-02,1
2024-01-04,1
2024-01-06,1
2024-01-09,1
2024-01-12,1
2024-01-15,1
2024-01-18,1
2024-01-22,1
2024-01-25,1
2024-01-29,1
2024-02-02,2
2024-02-05,2
2024-02-08,2
2024-02-11,2
2024-02-14,2
2024-02-17,2
2024-02-20,2
2024-02-23,2
2024-02-26,2
2024-02-28,2
2024-03-03,3
2024-03-06,3
2024-03-09,3
2024-03-12,3
2024-03-15,3
2024-03-18,3
2024-03-21,3
2024-03-24,3
2024-03-27,3
2024-03-30,3
2024-04-02,4
2024-04-05,4
2024-04-08,4
2024-04-11,4
2024-04-14,4
2024-04-17,4
2024-04-20,4
2024-04-23,4
2024-04-26,4
2024-04-29,4
2024-05-03,5
2024-05-06,5
2024-05-09,5
2024-05-12,5
2024-05-15,5
2024-05-18,5
2024-05-21,5
2024-05-24,5
2024-05-27,5
2024-05-30,5
2024-06-02,6
2024-06-04,6
2024-06-06,6
2024-06-09,6
2024-06-12,6
2024-06-15,6
2024-06-18,6
2024-06-21,6
2024-06-24,6
2024-06-28,6
2024-07-02,7
2024-07-05,7
2024-07-08,7
2024-07-11,7
2024-07-14,7
2024-07-17,7
2024-07-20,7
2024-07-23,7
2024-07-26,7
2024-07-30,7
2024-08-03,8
2024-08-06,8
2024-08-09,8
2024-08-12,8
2024-08-15,8
2024-08-18,8
2024-08-21,8
2024-08-24,8
2024-08-27,8
2024-08-30,8
2024-09-02,9
2024-09-05,9
2024-09-08,9
2024-09-11,9
2024-09-14,9
2024-09-17,9
2024-09-20,9
2024-09-23,9
2024-09-26,9
2024-09-29,9
2024-10-03,10
2024-10-06,10
2024-10-09,10
2024-10-12,10
2024-10-15,10
2024-10-18,10
2024-10-21,10
2024-10-24,10
2024-10-27,10
2024-10-30,10
